Update,Time,Sportsbook,Type,New England Patriots,Denver Broncos
0,2023-12-15 11:52:20-05:00,fanduel,h2h,2.98,1.42
0,2023-12-15 11:51:27-05:00,draftkings,h2h,2.9,1.43
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,3.1,1.38
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,2.9,1.4
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,2.95,1.43
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,3.1,1.38
0,2023-12-15 11:52:08-05:00,bovada,h2h,3.1,1.4
0,2023-12-15 11:51:28-05:00,betparx,h2h,2.95,1.4
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,2.95,1.4
0,2023-12-15 11:52:22-05:00,betrivers,h2h,2.95,1.4
